Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1268,Disney Sing It: Pop Hits,1,2009,7,Disney Interactive Studios,1.08,0.28,0,0.13,1.49
1269,Final Fantasy: Crystal Chronicles,19,2003,5,Nintendo,0.72,0.38,0.36,0.04,1.49
1270,Medal of Honor: Frontline,20,2002,8,Electronic Arts,1,0.43,0,0.06,1.49
1271,Madden NFL 09,3,2008,1,Electronic Arts,1.22,0,0,0.27,1.49
1272,Drawn To Life: SpongeBob SquarePants Edition,13,2008,12,THQ,1,0.36,0,0.13,1.49
1273,Banjo-Tooie,11,2000,2,Nintendo,0.82,0.36,0.25,0.06,1.49
1274,Buzz! The BIG Quiz,3,2006,7,Sony Computer Entertainment,0,1.1,0,0.39,1.49
1275,007: Quantum of Solace,5,2008,10,Activision,0.82,0.52,0.01,0.14,1.49
1276,The Sims 3,1,2010,9,Electronic Arts,0.61,0.73,0,0.15,1.49
1277,New Play Control! Mario Power Tennis,1,2009,1,Nintendo,0.37,0.69,0.28,0.14,1.48
1278,Bratz: Forever Diamondz,13,2006,12,THQ,0.43,0.88,0,0.18,1.48
1279,Dirge of Cerberus: Final Fantasy VII,3,2006,8,Square Enix,0.47,0.37,0.52,0.12,1.48
1280,Nintendo World Cup,2,1990,1,Nintendo,0.28,0.5,0.65,0.05,1.48
1281,WWF WrestleMania 2000,11,1999,11,THQ,1.2,0.25,0.02,0.02,1.48
1282,Wario Land II,7,1997,2,Nintendo,0.7,0.35,0.39,0.04,1.48
1283,Mass Effect 2,4,2011,5,Electronic Arts,0.78,0.47,0.03,0.2,1.48
1284,Major League Baseball 2K5,3,2005,1,Take-Two Interactive,0.72,0.56,0,0.19,1.48
1285,Fight Night 2004,3,2004,11,Electronic Arts,1.08,0.2,0,0.2,1.48
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,20,2004,10,Ubisoft,0.82,0.59,0,0.07,1.48
1287,Imagine: Master Chef,13,2007,9,Ubisoft,0.39,0.92,0,0.17,1.47
1288,Assassin's Creed III: Liberation,23,2012,10,Ubisoft,0.58,0.55,0.06,0.28,1.47
1289,SoulCalibur IV,4,2008,11,Ubisoft,0.72,0.41,0.14,0.2,1.47
1290,Mario Golf,11,1999,10,Nintendo,0.62,0.18,0.65,0.02,1.47
1291,Disney Princess,6,2003,2,THQ,1.04,0.37,0,0.06,1.47
1292,Fight Night Round 3,5,2006,11,Electronic Arts,1.33,0.03,0.01,0.1,1.47
1293,Metal Gear Rising: Revengeance,4,2013,10,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
1294,Chrono Trigger,13,2008,5,Square Enix,0.69,0.2,0.49,0.09,1.47
1295,Star Wars: The Force Unleashed II,5,2010,10,LucasArts,0.95,0.4,0,0.12,1.47
1296,The House of the Dead 2 & 3 Return,1,2008,8,Sega,0.78,0.5,0.03,0.15,1.47
1297,Disney Princess: Magical Jewels,13,2007,12,Disney Interactive Studios,1.15,0.2,0,0.12,1.47
1298,LittleBigPlanet PS Vita,23,2012,2,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47
1299,Xenogears,12,1998,5,SquareSoft,0.29,0.19,0.89,0.1,1.46
1300,The SpongeBob SquarePants Movie,6,2004,2,THQ,1.02,0.38,0,0.06,1.46
1301,Tom Clancy's Ghost Recon: Future Soldier,5,2012,8,Ubisoft,0.93,0.4,0.02,0.12,1.46
1302,Battlefield: Bad Company,5,2008,8,Electronic Arts,0.81,0.46,0.04,0.15,1.46
1303,Midway Arcade Treasures,3,2003,7,Midway Games,0.72,0.56,0,0.19,1.46
1304,Wall-E,13,2008,2,THQ,0.46,0.83,0,0.17,1.46
1305,Triple Play 99,12,N/A,1,N/A,0.81,0.55,0,0.1,1.46
1306,Homefront,5,2011,8,THQ,0.83,0.48,0.02,0.12,1.46
1307,Super Monkey Ball,19,2001,6,Atari,0.95,0.37,0.1,0.04,1.46
1308,Donkey Kong,15,1981,2,Coleco,1.36,0.08,0,0.02,1.46
1309,Mortal Kombat 4,12,1998,11,GT Interactive,0.81,0.55,0,0.1,1.46
1310,Mario Superstar Baseball,19,2005,1,Nintendo,0.93,0.24,0.25,0.04,1.46
1311,Mass Effect 3,4,2012,5,Electronic Arts,0.63,0.59,0.03,0.21,1.46
1312,LEGO Batman 2: DC Super Heroes,1,2012,10,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,1.46
1313,Medal of Honor: Warfighter,4,2012,10,Electronic Arts,0.47,0.65,0.06,0.28,1.46
1314,WCW vs the World,12,1998,11,THQ,1.17,0.2,0.04,0.05,1.46
1315,SNK vs. Capcom: The Match of the Millennium,16,2006,11,Sega,0.53,0.58,0,0.35,1.46
1316,LEGO City Undercover,9,2013,2,Nintendo,0.51,0.75,0.07,0.12,1.46
1317,Onimusha 3: Demon Siege,3,2004,10,Capcom,0.37,0.47,0.54,0.07,1.45
1318,Diablo III,5,2013,5,Activision,0.89,0.44,0,0.12,1.45
1319,Batman: Arkham Knight,18,2015,10,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,1.45
1320,BioShock,4,2008,8,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45
1321,Red Dead Revolver,3,2004,8,Take-Two Interactive,0.71,0.55,0,0.19,1.45
1322,Anno 2070,21,2011,13,Ubisoft,0,1.13,0,0.32,1.45
1323,Resident Evil: Outbreak,3,2003,10,Capcom,0.54,0.35,0.46,0.1,1.45
1324,Smarty Pants,1,2007,7,Electronic Arts,0.53,0.76,0,0.16,1.45
1325,Tamagotchi,7,1996,9,Namco Bandai Games,0,0,1.44,0.01,1.45
1326,4 Nin uchi Mahjong,2,1984,7,Nintendo,0,0,1.45,0,1.45
1327,Dragon Ball Z,14,1993,11,Namco Bandai Games,0,0,1.45,0,1.45
1328,Game de Hakken!! Tamagotchi 2,7,1997,9,Namco Bandai Games,0,0,1.44,0.01,1.45
1329,Namco Museum 64,11,1999,7,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45
1330,Hasbro Family Game Night,1,2008,6,Electronic Arts,0.97,0.34,0,0.13,1.45
1331,Dragon Quest Monsters: Joker 2,13,2010,5,Square Enix,0.11,0.08,1.24,0.02,1.45
1332,Tony Hawk's American Wasteland (Weekly american sales),3,2005,1,Activision,1.38,0.05,0,0.02,1.45
1333,My Word Coach,13,2007,7,Ubisoft,0.37,0.9,0,0.18,1.45
1334,Hello Kitty Party,13,2007,7,Rising Star Games,0.79,0.53,0,0.13,1.44
1335,SingStar Pop,3,2007,7,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44
1336,Sonic Rivals,16,2006,3,Sega,0.73,0.42,0,0.28,1.44
1337,SimCity (2013),21,2013,9,Electronic Arts,0.48,0.77,0,0.19,1.44
1338,Kirby Super Star,14,1996,2,Nintendo,0.26,0.07,1.09,0.02,1.44
1339,Far Cry 4,4,2014,8,Ubisoft,0.33,0.79,0.08,0.23,1.44
1340,WWE SmackDown vs Raw 2008,5,2007,11,THQ,0.92,0.38,0,0.13,1.44
1341,Kinect Joy Ride,5,2010,3,Microsoft Game Studios,0.92,0.4,0,0.12,1.44
1342,Rayman Raving Rabbids,1,2006,7,Ubisoft,1.23,0.07,0.02,0.11,1.44
1343,Need for Speed Rivals,4,2013,3,Electronic Arts,0.33,0.74,0.05,0.31,1.44
1344,Tiger Woods PGA Tour 2005,3,2004,1,Electronic Arts,1.03,0.32,0,0.09,1.44
1345,Dead Space 2,4,2011,8,Electronic Arts,0.73,0.5,0,0.21,1.44
1346,NCAA Football 2003,3,2002,1,Electronic Arts,1.16,0.08,0,0.19,1.44
1347,Frogger 2: Swampy's Revenge,12,1999,10,Hasbro Interactive,0.8,0.54,0,0.09,1.43
1348,Disney Infinity,5,2013,10,Disney Interactive Studios,0.96,0.37,0,0.11,1.43
1349,LEGO Indiana Jo2 2: The Adventure Continues,1,2009,10,Activision,0.91,0.39,0,0.13,1.43
1350,Sonic's Ultimate Ge2is Collection,5,2009,7,Sega,0.85,0.46,0,0.13,1.43
1351,Tiger Woods PGA Tour 09 All-Play,1,2008,1,Electronic Arts,0.81,0.48,0,0.14,1.43
1352,Disney's DuckTales,7,1988,2,Capcom,0.82,0.23,0.35,0.03,1.43
1353,Classic 2 Series: Super Mario Bros.,6,2004,2,Nintendo,0,0,1.39,0.03,1.43
1354,Triple Play 2000,12,1999,1,Electronic Arts,0.79,0.54,0,0.09,1.43
1355,Dragon Quest VII: Warriors of Eden,9,2013,5,Square Enix,0.07,0.04,1.3,0.01,1.42
1356,Cabela's Big Game Hunter,3,2002,1,Activision,0.7,0.54,0,0.18,1.42
1357,UFC Undisputed 2010,4,2010,11,THQ,0.8,0.41,0.02,0.19,1.42
1358,NBA Live 06 (Weekly american sales),3,2005,1,Electronic Arts,1.35,0.05,0,0.02,1.42
1359,The Legend of Zelda: The Minish Cap,6,2004,10,Nintendo,0.89,0.22,0.22,0.1,1.42
1360,NFL Street,3,2004,1,Electronic Arts,1.15,0.08,0,0.19,1.42
1361,Sonic Generations,5,2011,2,Sega,0.71,0.57,0,0.14,1.42
1362,Super Metroid,14,1994,10,Nintendo,0.57,0.12,0.71,0.02,1.42
1363,Pro Yakyuu Family Stadium '87,2,1987,1,Namco Bandai Games,0.12,0,1.3,0,1.42
1364,Dead Space,5,2008,10,Electronic Arts,0.89,0.4,0,0.13,1.42
1365,Resident Evil (Remake),19,2002,10,Capcom,0.63,0.38,0.35,0.05,1.42
1366,Inazuma Eleven 2,13,2009,5,Nintendo,0,0.21,1.18,0.03,1.42
1367,Tomb Raider (2013),10,2014,10,Square Enix,0.47,0.64,0.06,0.25,1.41
1368,LEGO Star Wars II: The Original Trilogy,16,2006,10,LucasArts,0.58,0.51,0,0.32,1.41
1369,Toy Story 3: The Video Game,1,2010,10,Disney Interactive Studios,0.64,0.63,0,0.14,1.41
1370,Fight Night Round 4,5,2009,11,Electronic Arts,0.95,0.34,0,0.13,1.41
1371,LEGO Star Wars: The Video Game,19,2005,10,Eidos Interactive,1.09,0.28,0,0.04,1.41
1372,Injustice: Gods Among Us,5,2013,11,Warner Bros. Interactive Entertainment,0.97,0.34,0,0.11,1.41
1373,Madden NFL 15,4,2014,1,Electronic Arts,1.07,0.15,0,0.19,1.41
1374,Disney's The Lion King,22,1994,2,Virgin Interactive,0.97,0.37,0.03,0.05,1.41
1375,Ridge Racer,16,2004,3,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41
1376,Metroid: Other M,1,2010,10,Nintendo,0.87,0.31,0.13,0.1,1.41
1377,Knockout Kings 2000,12,1999,11,Electronic Arts,1.02,0.34,0,0.05,1.41
1378,Gran Turismo 4 Prologue,3,2003,3,Sony Computer Entertainment,0,0.47,0.77,0.17,1.41
1379,Twisted Metal: Black,3,2001,3,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41
1380,NASCAR 2005: Chase for the Cup,3,2004,3,Electronic Arts,0.69,0.54,0,0.18,1.41
1381,Call of Duty: Black Ops,1,2010,8,Activision,0.82,0.47,0,0.12,1.4
1382,Spider-Man: The Movie,20,2002,10,Activision,1.07,0.28,0,0.05,1.4
1383,Need For Speed: Undercover,3,2008,3,Electronic Arts,0.38,0.08,0.03,0.93,1.4
1384,2Xtreme,12,1996,1,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4
1385,Far Cry 2,4,2008,10,Ubisoft,0.43,0.7,0.01,0.27,1.4
1386,Sonic Advance 3,6,2004,2,THQ,0.74,0.52,0.08,0.06,1.4
1387,Final Fantasy III,2,1990,5,SquareSoft,0,0,1.39,0.01,1.4
1388,Battlefield 4,21,2013,8,Electronic Arts,0.38,0.86,0,0.16,1.4
1389,Colin McRae Rally 3,3,2002,3,Codemasters,0.03,1.05,0.02,0.3,1.4
1390,Madden NFL 2002,12,2001,1,Electronic Arts,0.78,0.53,0,0.09,1.39
1391,Doom (2016),10,2016,8,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39
1392,Final Fantasy XII: Revenant Wings,13,2007,5,Square Enix,0.34,0.42,0.54,0.1,1.39
1393,Bakugan: Battle Brawlers,13,2009,10,Activision,1.27,0.02,0,0.09,1.39
1394,Deus Ex: Human Revolution,4,2011,8,Square Enix,0.5,0.6,0.07,0.23,1.39
1395,NBA Jam,14,1994,1,Acclaim Entertainment,1.19,0.16,0,0.03,1.39
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,2,1991,10,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
1397,Dynasty Warriors 5,3,2005,10,Tecmo Koei,0.24,0.18,0.91,0.06,1.39
1398,Hannah Montana: Spotlight World Tour,1,2007,10,Disney Interactive Studios,0.87,0.38,0,0.13,1.39
1399,WWE '13,4,2012,10,THQ,0.51,0.62,0,0.26,1.39
1400,Deus Ex: Human Revolution,5,2011,8,Square Enix,0.76,0.48,0.02,0.12,1.39
1401,True Crime: Streets of LA,20,2003,10,Activision,0.96,0.37,0,0.05,1.38
1402,The Sims 2,16,2005,9,Electronic Arts,0.49,0.56,0,0.33,1.38
1403,Paper Mario,11,2000,5,Nintendo,0.58,0.18,0.59,0.02,1.38
1404,Bravely Default: Flying Fairy,9,2012,5,Nintendo,0.5,0.32,0.49,0.07,1.38
1405,Titanfall,5,2014,8,Electronic Arts,0.87,0.38,0.02,0.11,1.38
1406,Duke Nukem: Time to Kill,12,1998,8,Take-Two Interactive,0.77,0.54,0,0.07,1.38
1407,Persona 4: Golden,23,2012,5,Atlus,0.46,0.34,0.38,0.21,1.38
1408,Dead Rising 2,4,2010,10,Capcom,0.43,0.57,0.15,0.22,1.38
1409,Hasbro Family Game Night 2,1,2009,7,Electronic Arts,0.71,0.53,0,0.13,1.38
1410,Disney Princess: Enchanted Journey,1,2007,12,Disney Interactive Studios,1.24,0.04,0,0.09,1.38
1411,Gardening Mama,13,2009,6,505 Games,0.8,0.43,0.01,0.13,1.38
1412,Dave Mirra Freestyle BMX 2,3,2001,1,Acclaim Entertainment,0.67,0.53,0,0.18,1.38
1413,Need for Speed: The Run,5,2011,10,Electronic Arts,0.63,0.58,0,0.15,1.38
1414,LEGO Indiana Jo2: The Original Adventures,3,2008,10,LucasArts,0.6,0.01,0,0.76,1.37
1415,Assassin's Creed: Rogue,4,2014,10,Ubisoft,0.46,0.62,0.06,0.23,1.37
1416,Ridge Racer 7,4,2006,3,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37
1417,A Collection of Activision Classic Games for the Atari 2600,12,1998,7,Activision,0.76,0.52,0,0.09,1.37
1418,Forza Horizon 2,18,2014,3,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
1419,MotorStorm: Pacific Rift,4,2008,3,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37
1420,Sonic Colors,13,2010,2,Sega,0.74,0.5,0.01,0.13,1.37
1421,Star Wars Knights of the Old Republic II: The Sith Lords,20,2004,5,Activision,0.99,0.33,0,0.05,1.37
1422,LEGO Harry Potter: Years 1-4,4,2010,10,Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22,1.37
1423,Pocket Monsters Stadium,11,1998,13,Nintendo,0,0,1.37,0,1.37
1424,NBA 2K15,4,2014,1,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36
1425,Tom Clancy's Ghost Recon 2,20,2004,8,Ubisoft,0.86,0.45,0,0.06,1.36
1426,Crash Bandicoot 2: N-Tranced,6,2003,2,Vivendi Games,0.63,0.66,0,0.07,1.36
1427,Burnout Paradise,5,2008,3,Electronic Arts,0.63,0.58,0.01,0.15,1.36
1428,SingStar Abba,3,2008,7,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36
1429,Gradius,2,1986,8,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36
1430,Dragon Quest III: Soshite Densetsu e...,14,1996,5,Enix Corporation,0,0,1.36,0,1.36
1431,Centipede,15,1981,8,Atari,1.26,0.08,0,0.01,1.36
1432,Yoshi's New Island,9,2014,2,Nintendo,0.47,0.51,0.28,0.09,1.36
1433,Ryse: Son of Rome,18,2013,10,Microsoft Game Studios,0.82,0.42,0,0.11,1.36
1434,Dead to Rights,3,2002,8,Electronic Arts,0.67,0.52,0,0.17,1.36
1435,LEGO Harry Potter: Years 5-7,1,N/A,10,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
1436,Marvel vs. Capcom 3: Fate of Two Worlds,4,2011,11,Capcom,0.81,0.29,0.11,0.14,1.35
1437,Dance Dance Revolution (Japan),12,1999,9,Konami Digital Entertainment,0,0,1.26,0.09,1.35
1438,F1 2010,4,2010,3,Codemasters,0.25,0.76,0.08,0.27,1.35
1439,Madden NFL 98,12,1997,1,Electronic Arts,1.29,0.03,0,0.03,1.35
1440,FIFA Soccer 09,16,2008,1,Electronic Arts,0.23,0.73,0.02,0.37,1.35
1441,Namco Museum DS,13,2007,7,Atari,1.18,0.01,0.06,0.09,1.35
1442,FIFA Soccer 08,16,2007,1,Electronic Arts,0.2,0.76,0,0.39,1.35
1443,Grand Theft Auto: Chinatown Wars,13,2009,10,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35
1444,Alan Wake,5,2010,10,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35
1445,Battlefield: Bad Company,4,2008,8,Electronic Arts,0.76,0.36,0.05,0.18,1.35
1446,Mortal Kombat X,18,2015,11,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
1447,Samurai Warriors,3,2004,10,Electronic Arts,0.22,0.05,1.06,0.02,1.35
1448,The Simpsons: Hit & Run,20,2003,3,Vivendi Games,0.7,0.58,0,0.07,1.35
1449,Devil May Cry 4,5,2008,10,Capcom,0.79,0.34,0.08,0.13,1.35
1450,Tom Clancy's Rainbow Six: Vegas 2,4,2008,8,Ubisoft,0.66,0.45,0.04,0.21,1.35
1451,Monster Hunter Freedom,16,2005,5,Capcom,0.24,0.04,1.03,0.04,1.35
1452,Crysis 2,5,2011,10,Electronic Arts,0.7,0.5,0.02,0.12,1.35
1453,SaGa Frontier,12,1997,5,SquareSoft,0.15,0.04,1.07,0.09,1.35
1454,SingStar Party,3,2004,7,Sony Computer Entertainment,0,1.04,0,0.31,1.35
1455,FIFA Soccer 08,5,2007,1,Electronic Arts,0.31,0.89,0.01,0.14,1.35
1456,The ICO & Shadow of the Colossus Collection,4,2011,12,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35
1457,Test Drive,3,2002,3,Atari,0.95,0.21,0.01,0.18,1.34
1458,Mario & Luigi: Partners in Time,13,2005,5,Nintendo,0.77,0.07,0.43,0.08,1.34
1459,Lost Planet: Extreme Condition,5,2006,8,Capcom,1.09,0.04,0.1,0.11,1.34
1460,Mortal Kombat 3,22,1994,11,Acclaim Entertainment,1.03,0.27,0,0.04,1.34
1461,Doom 3,20,2005,8,Activision,0.85,0.43,0,0.06,1.34
1462,Donkey Kong Jungle Beat,19,2004,2,Nintendo,0.84,0.22,0.24,0.04,1.34
1463,Need for Speed Carbon,3,2006,3,Electronic Arts,1.22,0.05,0.05,0.01,1.34
1464,Max Payne 2: The Fall of Max Payne,3,2003,8,Take-Two Interactive,0.65,0.51,0,0.17,1.34
1465,Command & Conquer: Red Alert 2,21,2000,13,Electronic Arts,1.32,0.02,0,0,1.34
1466,MVP Baseball 2004,3,2004,1,Electronic Arts,1.1,0.06,0,0.18,1.34
1467,WWE SmackDown vs Raw 2008,4,2007,11,THQ,0.62,0.5,0.01,0.21,1.33
1468,Ratchet & Clank: Up Your Arsenal (Weekly american sales),3,2004,2,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33
1469,Your Shape: Fit2s Evolved,5,2010,1,Ubisoft,0.79,0.42,0,0.11,1.33
1470,Rage,4,2011,8,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33
1471,Skylanders SWAP Force,5,2013,2,Activision,0.86,0.36,0,0.11,1.33
1472,NBA 2K14,10,2013,1,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33
1473,Spider-Man: The Movie,6,2002,10,Activision,0.92,0.35,0.01,0.05,1.33
1474,WWF War Zone,11,1998,11,Acclaim Entertainment,1.08,0.24,0,0.02,1.33
1475,Tony Hawk's Pro Skater,7,2000,1,Activision,0.9,0.38,0.01,0.05,1.33
1476,The Sims: Bustin' Out,6,2003,9,Electronic Arts,0.93,0.35,0,0.06,1.33
1477,Triple Play 2001,12,2000,1,Electronic Arts,0.74,0.5,0,0.09,1.33
1478,Metroid Prime 2: Echoes,19,2004,8,Nintendo,0.87,0.35,0.07,0.04,1.33
1479,UFC Undisputed 2010,5,2010,11,THQ,0.9,0.31,0,0.11,1.33
1480,Final Fantasy X / X-2 HD Remaster,4,2013,5,Square Enix,0.43,0.4,0.32,0.18,1.33
1481,Corvette,3,2004,3,TDK Mediactive,0.65,0.51,0,0.17,1.33
1482,Petz Wild Animals: Dolphinz,13,2007,9,Ubisoft,0.71,0.48,0,0.13,1.33
1483,Pokemon Ranger: Guardian Signs,13,2010,5,Nintendo,0.51,0.17,0.58,0.06,1.33
1484,Middle-Earth: Shadow of Mordor,18,2014,10,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
1485,Need for Speed Underground Rivals,16,2005,3,Electronic Arts,0.69,0.38,0.02,0.24,1.32
1486,LEGO Batman: The Videogame,4,2008,10,Warner Bros. Interactive Entertainment,0.72,0.42,0,0.19,1.32
1487,Dark Souls II,4,2014,5,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
1488,World of Warcraft: Wrath of the Lich King,21,2008,5,Activision,0.01,0.13,0,1.18,1.32
1489,Kingdom Hearts II,4,2014,5,Square Enix,0.52,0.43,0.18,0.19,1.32
1490,The LEGO Movie Videogame,5,2014,10,Warner Bros. Interactive Entertainment,0.69,0.52,0,0.11,1.32
1491,TOCA 2: Touring Cars,12,1998,3,Codemasters,0.03,1.16,0.02,0.11,1.32
1492,Gyromite,2,1985,6,Nintendo,0.73,0.16,0.4,0.03,1.32
1493,NFL 2K3,3,2002,1,Atari,1.06,0.08,0,0.18,1.32
1494,Fighting Force,12,1997,11,Eidos Interactive,0.73,0.5,0,0.09,1.32
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,6,2003,5,Capcom,0.31,0.04,0.96,0.01,1.32
1496,MAG: Massive Action Game,4,2010,8,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32
1497,Madden NFL 97,12,1996,1,Electronic Arts,0.73,0.5,0,0.09,1.32
1498,Cars 2,13,2011,3,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32
1499,Skylanders Giants,5,2012,10,Activision,0.75,0.45,0,0.11,1.32
1500,LEGO Batman: The Videogame,16,N/A,10,Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32
1501,TNN Motor Sports Hardcore 4x4,12,1996,3,ASC Games,0.73,0.5,0,0.09,1.31
1502,IHRA Drag Racing 2,3,2002,3,Bethesda Softworks,0.64,0.5,0,0.17,1.31
1503,The Beatles: Rock Band,5,2009,7,MTV Games,0.97,0.23,0,0.11,1.31
1504,Tekken 6,5,2009,11,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31
1505,[Prototype],5,2009,10,Activision,0.84,0.35,0,0.12,1.31
1506,Deal or No Deal,1,2009,7,Zoo Games,1.22,0,0,0.09,1.31
1507,Madagascar,3,2005,2,Activision,0.78,0.45,0,0.07,1.31
1508,Rugrats Studio Tour,12,1999,12,THQ,0.57,0.67,0,0.07,1.31
1509,LEGO Battles,13,2009,13,Warner Bros. Interactive Entertainment,0.81,0.38,0,0.12,1.31
1510,Pitfall II: Lost Caverns,15,1983,2,Activision,1.22,0.07,0,0.02,1.31
1511,Turok: Evolution,3,2002,8,Acclaim Entertainment,0.64,0.5,0,0.17,1.31
1512,High School Musical 3: Senior Year DANCE!,1,2008,7,Disney Interactive Studios,0.68,0.49,0,0.13,1.31
1513,Gold's Gym: Cardio Workout,1,2008,1,Ubisoft,1.11,0.04,0.06,0.09,1.31
1514,Burnout 3: Takedown,20,2004,3,Electronic Arts,0.84,0.43,0,0.04,1.31
1515,Adventure,15,N/A,12,Atari,1.21,0.08,0,0.01,1.3
1516,Yu-Gi-Oh! The Sacred Cards,6,2002,5,Konami Digital Entertainment,0.94,0.35,0,0.02,1.3
1517,Crysis 2,4,2011,10,Electronic Arts,0.45,0.57,0.06,0.21,1.3
1518,NBA Live 07,3,2006,1,Electronic Arts,1.07,0.04,0.02,0.17,1.3
1519,Saints Row IV,4,2013,10,Deep Silver,0.56,0.44,0.09,0.21,1.3
1520,SingStar '80s,3,2005,7,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3
1521,EA Playground,1,2007,1,Electronic Arts,0.69,0.48,0,0.13,1.3
1522,Test Drive 5,12,1997,3,Accolade,1.05,0.2,0,0.05,1.3
1523,Romancing SaGa 3,14,1995,5,SquareSoft,0,0,1.29,0.01,1.3
1524,EA Sports Active 2,1,2010,1,Electronic Arts,0.78,0.4,0,0.11,1.3
1525,Digimon World,12,1999,5,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3
1526,Rise of the Tomb Raider,18,2015,12,Square Enix,0.53,0.64,0.02,0.1,1.3
1527,Need for Speed Carbon,1,2006,3,Electronic Arts,0.46,0.66,0.02,0.15,1.29
1528,Yoshi's Woolly World,17,2015,2,Nintendo,0.61,0.47,0.11,0.1,1.29
1529,Mega Man Battle Network 3 Blue / White Version,6,2002,5,Capcom,0.39,0.02,0.85,0.03,1.29
1530,FIFA Street,4,2012,1,Electronic Arts,0.11,0.92,0,0.25,1.29
1531,Resident Evil Zero,19,2002,10,Capcom,0.54,0.27,0.45,0.04,1.29
1532,Need for Speed: Most Wanted,5,2005,3,Electronic Arts,1,0.17,0.02,0.1,1.29
1533,Tom Clancy's Rainbow Six: Siege,18,2015,8,Ubisoft,0.73,0.44,0,0.12,1.29
1534,Pirates of the Caribbean: The Curse of the Black Pearl,6,2003,2,TDK Mediactive,0.93,0.34,0,0.02,1.29
1535,Transformers,3,2004,8,Atari,0.63,0.49,0,0.16,1.29
1536,Guitar Hero: Aerosmith,1,2008,7,Activision,1.04,0.14,0,0.1,1.29
1537,Mystery Case Files: MillionHeir,13,2008,12,Nintendo,0.76,0.4,0,0.12,1.29
1538,Valkyria Chronicles,4,2008,5,Sega,0.71,0.2,0.24,0.13,1.29
1539,Midnight Club 3: DUB Edition (America weekly sales),3,2005,3,Take-Two Interactive,1.22,0.05,0,0.01,1.29
1540,Champions of Norrath,3,2004,5,Sony Online Entertainment,0.63,0.49,0,0.16,1.28
1541,Watch Dogs,5,2014,10,Ubisoft,0.72,0.45,0.01,0.11,1.28
1542,Imagine: Wedding Designer,13,2008,9,Ubisoft,0.55,0.59,0,0.14,1.28
1543,Metal Gear Solid V: Ground Zeroes,10,2014,10,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
1544,Yakuman,7,1989,7,Nintendo,0,0,1.28,0,1.28
1545,Assassin's Creed Syndicate,18,2015,10,Ubisoft,0.61,0.56,0,0.11,1.28
1546,Army Men 3D,12,1999,10,3DO,1.1,0.14,0,0.04,1.28
1547,WWE '13,5,2012,10,THQ,0.72,0.45,0,0.11,1.28
1548,Twisted Metal 4,12,1999,3,989 Studios,1.07,0.16,0,0.04,1.28
1549,Manhunt,3,2003,10,Take-Two Interactive,0.63,0.49,0,0.16,1.28
1550,Kid Icarus: Uprising,9,2012,10,Nintendo,0.48,0.35,0.36,0.07,1.28
1551,Silent Hill 2,3,2001,10,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28
1552,Tomb Raider: Underworld,4,2008,10,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
1553,Castlevania: Symphony of the Night,12,1997,2,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27
